Kalmah,Extreme power,Melodic death,,,
Carcass,Grindcore,Melodic death,,,
Burzum,Black,Dark,Ambient,Ambient,
Anthrax,Thrash,Heavy,,,
Morbid Angel,Death,,,,
Meshuggah,Technical thrash,Math,Progressive,,
Finntroll,Extreme folk,,,,
Septicflesh,Atmospheric death,Symphonic death,,,
Moonsorrow,Viking folk,,,,
Machine Head,Groove thrash,Progressive thrash,,,
System Of A Down,Alternative,,,,
Within Temptation,Symphonic,Gothic,,,
Bathory,Viking black,First wave of black,,,
Exodus,Bay area thrash,,,,
Draconian,Gothic doom,,,,
Slipknot,Alternative,Nu,,,
AC/DC,Hard rock,Blues rock,,,
Ayreon,Progressive,,,,
Swallow The Sun,Melodic death,Melodic doom,,,
Gamma Ray,Power,,,,
Rhapsody Of Fire,Symphonic power,,,,
Hypocrisy,Death,Melodic death,Gothenburg,,
Mot�rhead,Heavy,,,,
Bloodbath,Death,,,,
Korpiklaani,Folk,,,,
Manowar,Heavy,Us power,,,
HammerFall,Power,,,,
At The Gates,Melodic death,Gothenburg,,,
Sabaton,Power,,,,
Mayhem,Death,Black,,,
Vader,Death,,,,
Avantasia,Symphonic power,,,,
Rotting Christ,Black,Gothic,,,
Summoning,Atmospheric black,,,,
Sodom,Teutonic thrash,,,,
Overkill,Thrash,,,,
Dissection,Melodic death,Melodic black,,,
Satyricon,Black,,,,
Rush,Progressive rock,,,,
Darkthrone,Death,Black,Crust punk,Heavy,
Ozzy Osbourne,Heavy,,,,
Devin Townsend,Industrial progressive,Progressive,,,
Alcest,Black,Shoegaze,,,
Equilibrium,Viking folk,,,,
Deep Purple,Heavy,Hard rock,,,
Edguy,Power,,,,
Soilwork,Gothenburg,,,,
Riverside,Progressive,,,,
Trivium,Metalcore,Alternative thrash,,,
Turisas,Folk,,,,
Orphaned Land,Progressive folk,Death,Folk,,
Apocalyptica,Symphonic heavy,,,,
King Diamond,Heavy,,,,
Angra,Progressive power,,,,
Deicide,Death,,,,
Alice In Chains,Grunge,Heavy,,,
Haggard,Experimental death,Symphonic,,,
Disturbed,Nu,Alternative,,,
DragonForce,Power,,,,
Lacuna Coil,Gothic,Alternative,,,
Accept,Heavy,,,,
Arcturus,Avantgarde black,Avantgarde,,,
Omnium Gatherum,Melodic death,,,,
Obituary,Death,,,,
Pain Of Salvation,Progressive,Progressive rock,,,
Necrophagist,Technical death,,,,
Fear Factory,Industrial,Death,,,
Tristania,Symphonic gothic,Gothic,,,
Decapitated,Technical death,,,,
Fleshgod Apocalypse,Symphonic death,,,,
Primordial,Black,Celtic folk,,,
Candlemass,Epic doom,,,,
Scar Symmetry,Melodic death,Progressive power,,,
Eternal Tears Of Sorrow,Extreme power,Melodic death,,,
Marduk,Black,,,,
Annihilator,Thrash,Heavy,,,
Alestorm,Folk,Power,,,
Ghost,Heavy,Psychedelic rock,,,
Ulver,Folk,Electronic,Avantgarde,Black,
Cynic,Progressive death,Progressive,,,
Ne Obliviscaris,Extreme progressive,,,,
In Mourning,Gothic,Melodic death,Progressive,,
Obscura,Progressive death,Technical death,,,
Korn,Nu,Alternative,,,
Evergrey,Progressive,Power,,,
T�r,Folk,,,,
Type O Negative,Gothic,Doom,,,
Mercyful Fate,Heavy,First wave of black,,,
Saturnus,Death,Gothic doom,,,
Bolt Thrower,Death,Grindcore,,,
Scorpions,Progressive rock,Hard rock,Heavy,,
Napalm Death,Hardcore,Grindcore,Punk,,
Windir,Viking black,,,,
Sentenced,Death,Suomi,Depressive heavy,Melodic death,
Tiamat,Death,Atmospheric gothic,,,
Killswitch Engage,Melodic metalcore,,,,
Gorgoroth,Black,,,,
Celtic Frost,First wave of black,Avantgarde,Thrash,,
Rainbow,Hard rock,Heavy,,,
Suffocation,Brutal death,,,,
Kataklysm,Death,,,,
Dying Fetus,Brutal death,Deathgrind,Technical death,,
Norther,Extreme power,,,,
Sirenia,Symphonic gothic,,,,
Savatage,Progressive heavy,,,,
Empyrium,Doom,Folk,Neofolk,,
Guns N' Roses,Hard rock,,,,
Venom,First wave of black,Heavy,,,
Dark Funeral,Black,,,,
Avenged Sevenfold,Metalcore,Heavy,Alternative,,
Destruction,Teutonic thrash,,,,
Edge Of Sanity,Progressive death,,,,
After Forever,Symphonic gothic,Symphonic progressive,,,
Ihsahn,Extreme progressive,Avantgarde,,,
Diablo Swing Orchestra,Avantgarde,Symphonic,,,
Arkona,Pagan folk,,,,
Leprous,Progressive,,,,
Between The Buried And Me,Progressive metalcore,,,,
Death Angel,Bay area thrash,,,,
W.A.S.P.,Heavy,,,,
As I Lay Dying,Melodic metalcore,,,,
Black Label Society,Heavy,,,,
Borknagar,Melodic black,Progressive black,,,
Isis,Post-metal,Atmospheric sludge,,,
Soulfly,Groove thrash,Nu,,,
Atheist,Technical death,,,,
DevilDriver,Nu,Melodic death,Groove thrash,,
Shining,Depressive black,Progressive black,,,
Strapping Young Lad,Industrial,Thrash,,,
The Gathering,Doom,Death doom,Atmospheric gothic,Experimental rock,
Anaal Nathrakh,Black,Grindcore,,,
Ghost Brigade,Post-metal,Alternative,,,
Delain,Symphonic,,,,
Watain,Black,,,,
Saxon,New wave of british heavy,Heavy,,,
Vektor,Technical thrash,Progressive thrash,,,
Immolation,Death,,,,
Firewind,Power,Heavy,,,
Mors Principium Est,Gothenburg,,,,
Samael,Black,Electro industrial,,,
Bullet For My Valentine,Melodic metalcore,,,,
Entombed,Death,Death 'n' roll,,,
Steven Wilson,Progressive rock,,,,
Xandria,Gothic,Symphonic,,,
Drudkh,Atmospheric black,Pagan black,,,
Animals As Leaders,Progressive,Instrumental,Djent,,
Queensr�che,Heavy,Progressive heavy,Progressive rock,,
Powerwolf,Power,,,,
Belphegor,Black,Death,,,
Alice Cooper,Hard rock,Glam rock,New wave,,Heavy
Before The Dawn,Gothic,Melodic death,,,
The Faceless,Deathcore,Progressive death,Technical death,,
Deftones,Nu,Alternative,,,
Primal Fear,Power,,,,
Theatre Of Tragedy,Gothic,Gothic industrial,,,
KISS,Hard rock,Symphonic rock,Glam,Heavy,
Down,Heavy,Sludge,Stoner,,
Skeletonwitch,Blackened thrash,,,,
Rage Against The Machine,Alternative,Nu,,,
Wolves In The Throne Room,Atmospheric black,,,,
Five Finger Death Punch,Groove metal,,,,
Electric Wizard,Doom,Stoner,,,
Nine Inch Nails,Industrial rock,Industrial,,,
Novembers Doom,Death doom,Melodic death,,,
Dethklok,Melodic death,,,,
Faith No More,Alternative,,,,
Cryptopsy,Brutal death,Technical death,Death,,
Falkenbach,Black,Viking folk,Folk,,
Graveworm,Gothic,Symphonic black,,,
Taake,Black,,,,
Grave Digger,Heavy,,,,
Rob Zombie,Alternative,Industrial,,,
The Black Dahlia Murder,Melodic death,Metalcore,,,
Running Wild,Heavy,Speed,,,
Neurosis,Atmospheric sludge,Post-hardcore,Post-metal,,
Carach Angren,Symphonic black,,,,
Dark Moor,Symphonic power,,,,
Baroness,Sludge,Stoner rock,Progressive rock,,
King Crimson,Progressive rock,,,,
Shape Of Despair,Funeral doom,,,,
Bruce Dickinson,Heavy,,,,
Demons And Wizards,Heavy,Power,,,
Deathspell Omega,Black,Avantgarde,,,
Lacrimosa,Gothic,Symphonic,,,
Coroner,Technical thrash,,,,
Masterplan,Progressive power,,,,
Tarja,Symphonic,,,,
Ahab,Funeral doom,,,,
Melechesh,Melodic black,Folk,,,
Rage,Heavy,,,,
Cult Of Luna,Post-metal,Sludge,,,
Suidakra,Melodic death,Folk,,,
Yngwie Malmsteen,Neoclassical power,,,,
Kyuss,Stoner,Stoner rock,,,
All That Remains,Melodic metalcore,,,,
Marilyn Manson,Industrial rock,Alternative,Industrial,Glam rock,Alternative rock
S�lstafir,Atmospheric black,Post-rock,,,
Woods Of Ypres,Melodic black,Doom,Gothic doom,,
Blut Aus Nord,Atmospheric black,Industrial,,,
Godsmack,Alternative,Hard rock,,,
Haken,Progressive,,,,
HIM,Suomi,,,,
Warbringer,Thrash,,,,
Havok,Thrash,,,,
Novembre,Death doom,Extreme progressive,,,
Evile,Thrash,,,,
Six Feet Under,Death,,,,
Leaves' Eyes,Atmospheric symphonic,,,,
Old Man's Child,Thrash,Death,Symphonic black,,
Chimaira,Groove thrash,,,,
Persefone,Melodic death,Progressive,,,
Heaven Shall Burn,Metalcore,Melodic death,,,
Myrath,Progressive,Oriental folk,,,
Freedom Call,Power,,,,
Green Carnation,Death,Gothic,Progressive,,
High On Fire,Stoner,Sludge,,,
Metal Church,Heavy,Thrash,,,
Sylosis,Melodic death,Progressive thrash,,,
Danzig,Hard rock,,,,
Elvenking,Folk,Power,,,
Triptykon,Blackened thrash,Death,,,
Volbeat,Heavy,Hard rock,,,
The Haunted,Alternative thrash,Thrash,Melodic death,,
Carpathian Forest,Black,,,,
Van Halen,Hard rock,Heavy,,,
Falconer,Folk,Power,,,
Pain,Gothic industrial,,,,
Unleashed,Melodic death,,,,
Protest The Hero,Metalcore,Progressive metalcore,,,
Gorguts,Death,Technical death,Avantgarde,,
Circus Maximus,Progressive,,,,
Aborted,Brutal death,Melodic death,Grindcore,,
Municipal Waste,Crossover thrash,,,,
Virgin Black,Gothic,Doom,,,
Dismember,Death,,,,
Joe Satriani,Hard rock,Rock,Instrumental,,
Barren Earth,Melodic death,Progressive,,,
Dream Evil,Heavy,Power,,,
Krisiun,Brutal death,,,,
Negur? Bunget,Black,Folk,,,
Uaral,Doom,Neofolk,,,
Amaranthe,Power,Industrial,,,
Whitesnake,Hard rock,,,,
Quo Vadis,Technical death,,,,
Mercenary,Melodic death,Thrash,Gothenburg,Heavy,
Pestilence,Death,Progressive death,Technical death,,
The Agonist,Metalcore,Melodic death,,,
Cavalera Conspiracy,Thrash,,,,
Mudvayne,Nu,Alternative,,,
Origin,Technical death,,,,
The Ocean,Post-metal,Sludge,Hardcore,,
Vintersorg,Black,Progressive,Folk,,
Voivod,Thrash,Progressive,,,
Fates Warning,Us power,Progressive,,,
Skid Row,Heavy,Hard rock,,,
Unexpect,Extreme avantgarde,,,,
Vital Remains,Death,,,,
Kvelertak,Blackened hardcore,Punk,,,
1349,Black,,,,
M�tley Cr�e,Glam rock,Glam,,,
Tankard,Thrash,,,,
Dragonland,Symphonic power,,,,
Cattle Decapitation,Deathgrind,Goregrind,,,
Revocation,Technical death,Thrash,,,
Pagan's Mind,Progressive,Power,,,
Artillery,Thrash,,,,
Shade Empire,Symphonic black,,,,
Arsis,Melodic death,Technical death,,,
Autopsy,Death,,,,
Dark Fortress,Black,,,,
Lake Of Tears,Gothic,Doom,,,
Daylight Dies,Melodic death,Doom,,,
Lost Horizon,Power,,,,
TesseracT,Progressive math,Djent,,,
Keep Of Kalessin,Black,Melodic black,Progressive black,,
Toxic Holocaust,Blackened thrash,Crossover thrash,,,
Possessed,Death,Thrash,,,
3 Inches Of Blood,Heavy,Power,,,
Allegaeon,Technical death,Melodic death,,,
Beyond Creation,Technical death,Progressive death,,,
Catamenia,Melodic black,Melodic death,Heavy,,
Def Leppard,New wave of british heavy,Hard rock,,,
Hatebreed,Hardcore,Metalcore,,,
Heavenly,Power,,,,
Heidevolk,Folk,,,,
Soundgarden,Grunge,Stoner,,,
Textures,Progressive math,,,,
Sigh,Death,Black,Avantgarde,Thrash,
Antimatter,Atmospheric rock,,,,
Clutch,Hard rock,Stoner rock,,,
Crematory,Death,Gothic,,,
Gorod,Technical death,,,,
Les Discrets,Black,Shoegaze,,,
October Tide,Death doom,,,,
Periphery,Progressive math,Djent,,,
Seventh Wonder,Progressive,,,,
Stone Sour,Hard rock,Alternative,,,
Estatic Fear,Symphonic doom,,,,
Malevolent Creation,Death,,,,
Esoteric,Psychedelic doom,Funeral doom,,,
Hate Eternal,Brutal death,,,,
The Foreshadowing,Doom,Gothic,,,
Atoma,Post-metal,Post-rock,,,
Deathstars,Industrial gothic,,,,
Luca Turilli's Rhapsody,Symphonic power,,,,
Iron Savior,Power,,,,
Asphyx,Death,,,,
Control Denied,Progressive,,,,
Job For A Cowboy,Deathcore,Death,,,
Heaven And Hell,Heavy,,,,
Thyrfing,Viking black,,,,
Ministry,Industrial,Synth pop,,,
Queens Of The Stone Age,Stoner,Stoner rock,,,
Slumber,Melodic doom,,,,
Threshold,Progressive,,,,
Grave,Death,,,,
Naglfar,Melodic black,,,,
Benighted,Brutal death,Blackened death,Grindcore,,
Lordi,Hard rock,Glam,,,
Alter Bridge,Hard rock,Rock,,,
Doom:VS,Funeral doom,,,,
Finsterforst,Pagan folk,,,,
Luca Turilli,Symphonic power,,,,
Shadows Fall,Modern thrash,Melodic death,,,
Steve Vai,Progressive rock,,,,
Twisted Sister,Hard rock,Glam,,,
Suicidal Tendencies,Crossover thrash,Hardcore,Punk,,
Whitechapel,Deathcore,,,,
Jeff Loomis,Progressive,Instrumental,,,
M�negarm,Black,Viking folk,,,
Van Canto,Power,Acappella,,,
Nuclear Assault,Thrash,,,,
A Forest Of Stars,Atmospheric black,,,,
All Shall Perish,Deathcore,,,,
The Sword,Doom,Stoner,,,
Caladan Brood,Atmospheric black,Folk,,,
Galneryus,Power,,,,
Adagio,Progressive,Symphonic power,,,
Akercocke,Black,Death,Progressive death,,
Axel Rudi Pell,Heavy,Power,,,
Edenbridge,Symphonic,Progressive,Power,,
Inquisition,Black,Thrash,,,
Chthonic,Melodic black,Extreme power,Folk,,
Dark Angel,Bay area thrash,,,,
Parkway Drive,Metalcore,,,,
Psycroptic,Technical death,,,,
Poisonblack,Suomi,Depressive heavy,,,
The Dillinger Escape Plan,Math,Metalcore,,,
Deafheaven,Atmospheric black,Post-metal,Shoegaze,,
Rapture,Melodic death,Doom,,,
Kauan,Folk,Doom,Black,,
Into Eternity,Melodic death,Progressive,,,
Thy Catafalque,Avantgarde black,,,,
Enshine,Gothic doom,,,,
Kylesa,Sludge,,,,
Cain's Offering,Power,,,,
Cathedral,Doom,Stoner,,,
Forbidden,Bay area thrash,,,,
Spawn Of Possession,Brutal death,Technical death,,,
Soen,Progressive,Alternative,,,
Dalriada,Folk,,,,
Evoken,Death,Funeral doom,,,
Misery Index,Deathgrind,,,,
August Burns Red,Technical metalcore,,,,
Disarmonia Mundi,Gothenburg,,,,
In Vain,Death,Progressive death,,,
Jorn,Heavy,,,,
Absu,Death,Blackened thrash,,,
Anorexia Nervosa,Symphonic black,Industrial,,,
Charon,Suomi,Death,,,
Suicide Silence,Deathcore,,,,
Vomitory,Death,,,,
Born Of Osiris,Progressive deathcore,,,,
Sleep,Stoner,,,,
Unearth,Metalcore,,,,
Forest Of Shadows,Death doom,Atmospheric doom,,,
Goatwhore,Blackened thrash,Blackened death,,,
Noumena,Melodic death,,,,
Stream Of Passion,Symphonic progressive,,,,
White Zombie,Noise rock,Alternative thrash,Industrial,,
Onslaught,Thrash,,,,
Thin Lizzy,Hard rock,Heavy,,,
Ulcerate,Technical death,,,,
Battlelore,Folk,Power,,,
Black Sun Aeon,Melodic death,Doom,,,
Lacrimas Profundere,Doom,Gothic,,,
Nocturnal Rites,Power,,,,
Heathen,Bay area thrash,,,,
Pelican,Instrumental Post-metal,,,,
Acid Bath,Doom,Sludge,,,
Amberian Dawn,Symphonic power,,,,
Converge,Metalcore,Hardcore,Post-hardcore,Punk,
Serenity,Symphonic power,,,,
Star One,Progressive,,,,
Mar De Grises,Doom,,,,
Wolfheart,Melodic death,,,,
Darkspace,Ambient black,,,,
Legion Of The Damned,Thrash,Death,,,
Liquid Tension Experiment,Progressive,Instrumental,,,
Tarot,Power,,,,
The Sins Of Thy Beloved,Symphonic gothic,,,,
The Vision Bleak,Gothic,,,,
Fallujah,Progressive death,Technical deathcore,,,
Witherscape,Atmospheric death,Extreme progressive,,,
Einherjer,Viking folk,,,,
Primus,Alternative,Experimental rock,,,
Sunn O))),Drone doom,Dark,Ambient,,
Airbourne,Hard rock,,,,
Decrepit Birth,Brutal death,Technical death,,,
Grand Magus,Doom,Heavy,,,
Uriah Heep,Hard rock,,,,
Flotsam And Jetsam,Thrash,,,,
Blotted Science,Progressive,Instrumental,,,
Limbonic Art,Symphonic black,Black,,,
Shadow Gallery,Progressive,,,,
Fen,Atmospheric black,Post-rock,,,
Skyfire,Extreme power,,,,
Corrosion Of Conformity,Stoner,,,,
Vanden Plas,Power,Progressive,,,
Halford,Heavy,,,,
In Extremo,Medieval folk,,,,
Mg?a,Black,,,,
Solution .45,Melodic death,,,,
Whispered,Extreme power,,,,
Diamond Head,New wave of british heavy,Heavy,,,
Hate,Death,,,,
God Dethroned,Death,Thrash,,,
Vreid,Black,,,,
In The Silence,Progressive,,,,
Static-X,Nu,Industrial,Alternative,,
Nachtmystium,Black,Psychedelic black,,,
Royal Hunt,Symphonic power,,,,
Xasthur,Depressive black,,,,
Suicidal Angels,Thrash,,,,
Wolfchant,Pagan folk,Melodic death,,,
ReVamp,Symphonic,Progressive,,,
Sadus,Death,Technical thrash,,,
Blackfield,Progressive rock,Avantgarde rock,,,
Nightrage,Melodic death,,,,
The 69 Eyes,Gothic,Glam rock,Gothic rock,Punk rock,
Pyramaze,Progressive power,,,,
Serj Tankian,Alternative,Hard rock,,,
Gloryhammer,Power,,,,
Hour Of Penance,Brutal death,,,,
Kalisia,Progressive death,,,,
Nargaroth,Black,,,,
Trail Of Tears,Gothic,,,,
Sanctuary,Us power,,,,
Woods Of Desolation,Atmospheric black,,,,
Agathodaimon,Symphonic black,Extreme gothic,,,
Sinergy,Heavy,Power,,,
Sonic Syndicate,Gothenburg,Metalcore,,,
Wuthering Heights,Progressive power,Folk,,,
I,Blackened heavy,,,,
Heavenwood,Death,Gothic,Gothic doom,,
Pig Destroyer,Grindcore,,,,
Doro,Hard rock,Heavy,,,
Incantation,Death,,,,
Virgin Steele,Heavy,Symphonic,,,
Anvil,Heavy,,,,
Bal-Sagoth,Symphonic black,Power,,,
Crowbar,Sludge,,,,
Mourning Beloveth,Death doom,,,,
Oranssi Pazuzu,Psychedelic black,,,,
Saor,Atmospheric black,Folk,,,
Ancient Bards,Symphonic power,,,,
Dark Lunacy,Melodic death,Symphonic,,,
Fairyland,Symphonic power,,,,
Gama Bomb,Thrash,,,,
In The Woods...,Black,Avantgarde,Progressive,,
Leviathan,Ambient black,,,,
Sybreed,Groove thrash,Industrial,,,
Spiritual Beggars,Heavy,Stoner,,,
In This Moment,Melodic metalcore,Alternative,,,
Saint Vitus,Doom,,,,
U.D.O.,Heavy,,,,
Atreyu,Melodic metalcore,Alternative,,,
Communic,Progressive,,,,
Godflesh,Industrial,,,,
Nightingale,Gothic,Progressive,,,
Anubis Gate,Progressive,Power,,,
Destr�yer 666,Blackened thrash,,,,
Europe,Heavy,Hard rock,,,
Pentagram,Doom,,,,
Zyklon,Black,Death,,,
Aeon,Death,,,,
Orden Ogan,Medieval folk,Power,,,
Skyclad,Folk,,,,
Stormlord,Symphonic black,,,,
X Japan,Power,,,,
Aquilus,Atmospheric black,Symphonic black,Ambient,,
Hail Spirit Noir,Blackened progressive,Psychedelic rock,,,
Wine From Tears,Death doom,,,,
Amesoeurs,Black,Shoegaze,,,
Kampfar,Black,Folk,,,
Unisonic,Melodic power,Hard rock,,,
Visions Of Atlantis,Symphonic,,,,
Karnivool,Alternative,Progressive,,,
OSI,Progressive,,,,
Ouroboros,Technical death,Thrash,,,
Russian Circles,Post-metal,,,,
Vulture Industries,Avantgarde,Progressive,,,
Blue �yster Cult,Hard rock,,,,
Drowning Pool,Alternative,,,,
Hellhammer,First wave of black,,,,
Benediction,Death,,,,
Blood Red Throne,Death,,,,
Gwar,Alternative,Thrash,Hardcore,Punk,
Illnath,Symphonic black,,,,
Crimson Glory,Progressive heavy,,,,
James LaBrie,Progressive,,,,
Witchcraft,Stoner,,,,
Darkest Hour,Melodic death,Metalcore,,,
Otep,Nu,Alternative,,,
Red Fang,Stoner,Stoner rock,,,
Sacred Reich,Speed,Thrash,,,
Solefald,Progressive black,Avantgarde,,,
Solitude Aeturnus,Doom,,,,
Cruachan,Celtic folk,,,,
D.R.I.,Crossover thrash,Hardcore,Punk,,
Exhumed,Deathgrind,,,,
Forefather,Folk,Black,,,
The Ruins Of Beverast,Black,Doom,,,
Vision Divine,Power,,,,
Dokken,Heavy,,,,
Hollenthon,Symphonic,Melodic death,,,
M�go De Oz,Heavy,Folk,,,
Tribulation,Thrash,Death,Black,,
Battle Beast,Heavy,,,,
Bring Me The Horizon,Metalcore,Deathcore,Post-hardcore,,
Ex Deo,Symphonic death,,,,
Metsat�ll,Heavy,Folk,,,
Skepticism,Funeral doom,,,,
Dordeduh,Atmospheric black,,,,
Redemption,Progressive,,,,
Scale The Summit,Progressive,Instrumental,,,
Vildhjarta,Progressive math,Djent,,,
Blood Stain Child,Extreme power,Trancecore,Melodic death,,
Gorefest,Death,Hard rock,,,
Intronaut,Post-metal,Atmospheric sludge,,,
Monster Magnet,Stoner,,,,
Sinister,Death,,,,
Impaled Nazarene,Black,Grindcore,Crust punk,,
Kiuas,Power,,,,
While Heaven Wept,Doom,Progressive power,,,
Brymir,Extreme folk,,,,
Celesty,Power,,,,
Darkseed,Gothic,,,,
Die Apokalyptischen Reiter,Death,Heavy,,,
Gris,Depressive black,,,,
Orange Goblin,Stoner,,,,
The Crown,Death,Thrash,,,
Theocracy,Progressive power,,,,
Violator,Thrash,,,,
Mechina,Industrial death,,,,
Necrophobic,Death,,,,
Om,Stoner,Drone doom,,,
Vesania,Symphonic black,,,,
Lifelover,Depressive black,Post-punk,,,
The Kovenant,Industrial,,,,
Monstrosity,Death,,,,
Persuader,Power,Heavy,,,
Razor,Thrash,,,,
Svartsot,Folk,,,,
Avatarium,Doom,,,,
Caliban,Metalcore,,,,
Graveyard,Hard rock,Blues rock,,,
Hail Of Bullets,Death,,,,
Melvins,Sludge,Doom,,,
Oomph!,,,,Industrial,Industrial rock
UnSun,Gothic,,,,
Vio-lence,Thrash,,,,
Abbath,Black,,,,
Angelus Apatrida,Thrash,,,,
Blackmore's Night,Folk rock,,,,
Labyrinth,Progressive power,,,,
Shining (NOR),Jazz,Experimental,,Avantgarde,
Steel Panther,Glam,Hard rock,,,
Toxik,Technical thrash,,,,
Tsjuder,Black,,,,
Bilocate,Blackened death,Death doom,Extreme progressive,,
Brainstorm,Power,,,,
ColdWorld,Ambient black,,,,
Forgotten Tomb,Doom,Black,Melodic black,,
Nasum,Grindcore,,,,
Beherit,Black,Ambient,,,
Lord Belial,Black,,,,
Marillion,Progressive rock,,,,
Deadlock,Alternative,Melodic metalcore,Melodic death,,
Dominia,Symphonic death,Melodic death,Gothic,,
Lazarus A.D.,Thrash,,,,
Midnattsol,Folk,Gothic,,,
Pathfinder,Symphonic power,,,,
Skyforger,Black,Folk,,,
Thurisaz,Atmospheric black,Death doom,,,
Altar Of Plagues,Black,Post-metal,,,
Angel Witch,New wave of british heavy,Heavy,,,
Cephalic Carnage,Grindcore,,,,
Demon Hunter,Metalcore,,,,
Neurotech,Industrial,Symphonic,,,
Thy Light,Depressive black,,,,
Abigail Williams,Symphonic black,Metalcore,Atmospheric black,,
Aura Noir,Black,Thrash,,,
Enforcer,Heavy,Speed,,,
Hell,New wave of british heavy,Heavy,,,
Jesu,Drone,Shoegaze,Post-metal,,
Obscure Sphinx,Post-metal,Doom,Sludge,,
Prong,Thrash,Industrial,,,
Earth,Drone doom,Psychedelic rock,,,
Killing Joke,Industrial,,Post-punk,Darkwave,
Mr. Bungle,Avantgarde,,,,
MyGrain,Gothenburg,,,,
October Falls,Doom,Folk,Ambient black,,
Trees Of Eternity,Gothic doom,,,,
Wilderun,Symphonic folk,,,,
Disillusion,Extreme progressive,Progressive,,,
Dreamtale,Power,,,,
Mushroomhead,Alternative,Industrial,Nu,,
Officium Triste,Death doom,,,,
Rosetta,Post-metal,Sludge,,,
Silencer,Black,,,,
Trollfest,Folk,,,,
Varg,Melodic black,Pagan folk,,,
Angtoria,Symphonic,,,,
Blackguard,Gothic,Folk,Power,,
Dir En Grey,Alternative,,,,
Forest Stream,Doom,,,,
Morbid Saint,Thrash,,,,
Terrorizer,Grindcore,Death,,,
Threat Signal,Melodic death,,,,
Axxis,Heavy,Power,,,
Carnifex,Deathcore,,,,
Eyehategod,Doom,Sludge,,,
Riot V,Heavy,Hard rock,,,
Stormwarrior,Power,,,,
Terra Tenebrosa,Avantgarde,Ambient,,,
Theatres Des Vampires,Symphonic black,Gothic,,,
Witchery,Thrash,,,,
Darkane,Death,Thrash,,,
Diabolical Masquerade,Avantgarde black,,,,
Gotthard,Hard rock,,,,
Isole,Epic doom,,,,
Dan Swan�,Extreme progressive,,,,
Deeds Of Flesh,Brutal death,,,,
Thunderstone,Power,Heavy,,,
Warning,Epic doom,,,,
Xerath,Symphonic math,,,,
40 Watt Sun,Doom,,,,
Allen/Lande,Heavy,,,,
KMFDM,Industrial,Dance,,,
Savage Circus,Power,,,,
Beseech,Gothic,,,,
King Of Asgard,Viking black,,,,
Machinae Supremacy,Power,,,,
Pallbearer,Doom,,,,
Ratt,Glam,Hard rock,,,
The Absence,Melodic death,,,,
The Project Hate MCMXCIX,Industrial death,,,,
Voyager,Symphonic progressive,,,,
Demolition Hammer,Thrash,,,,
Entwine,Suomi,,,,
Kivimets�n Druidi,Symphonic folk,,,,
Mordab,Progressive death,,,,
Sk�lm�ld,Viking folk,,,,
Warmen,Progressive power,,,,
Agent Steel,Speed,Thrash,,,
Anata,Technical death,,,,
Andromeda,Progressive,,,,
Brujeria,Grindcore,Death,,,
Enthroned,Black,,,,
